DAuid,DApop_2016,DAtdwell_2016,DAurdwell_2016,DAarea,CSDcode
35060001,496,180,174,6.538,008
35060002,622,227,216,3.8139,008
35060003,900,289,287,2.2872,008
35060005,888,312,304,15.34,008
35060006,1195,507,479,8.2476,008
35060007,871,287,284,33.425,008
35060010,309,103,103,0.0733,008
35060011,592,187,186,0.2081,008
35060012,585,190,189,0.1068,008
35060014,656,351,349,0.2969,008
35060015,522,212,212,0.1897,008
35060016,400,152,150,0.1106,008
35060017,490,189,189,0.149,008
35060018,424,157,157,0.1286,008
35060019,551,201,199,0.1597,008
35060020,466,163,162,0.0906,008
35060021,612,192,189,0.203,008
35060022,578,201,199,0.3066,008
35060023,468,170,170,0.103,008
35060024,277,94,94,0.0685,008
35060025,839,290,289,0.2278,008
35060026,288,88,88,0.0774,008
35060027,777,267,267,0.2164,008
35060028,335,103,103,0.0815,008
35060029,1703,576,576,0.3885,008
35060030,312,110,109,0.049,008
35060031,638,219,217,0.1638,008
35060032,767,290,289,0.098,008
35060033,413,130,130,0.1331,008
35060034,408,134,133,0.0855,008
35060035,437,159,158,0.0879,008
35060036,545,177,177,0.2055,008
35060037,519,175,175,0.1147,008
35060038,410,148,148,0.0847,008
35060039,766,275,266,0.1277,008
35060043,817,278,278,0.7702,008
35060044,387,120,119,0.0868,008
35060045,553,238,238,0.5706,008
35060047,204,74,73,0.1106,008
35060048,337,130,130,0.0991,008
35060049,445,167,166,0.1302,008
35060050,282,109,109,0.0643,008
35060051,694,253,245,0.2464,008
35060052,683,474,438,0.499,008
35060053,742,270,270,0.2155,008
35060054,570,228,225,0.2701,008
35060055,425,179,179,0.1447,008
35060056,315,132,131,0.1043,008
35060057,586,220,219,0.3301,008
35060058,353,137,137,0.0976,008
35060059,491,188,188,0.2167,008
35060061,448,172,171,0.1406,008
35060062,561,214,214,0.1516,008
35060064,410,180,178,0.0645,008
35060065,305,120,119,0.0528,008
35060066,314,98,98,0.0679,008
35060067,268,86,85,0.0556,008
35060069,699,264,263,0.179,008
35060070,669,258,254,0.2027,008
35060071,634,236,231,0.1517,008
35060072,309,113,112,0.0646,008
35060073,328,119,119,0.2079,008
35060074,486,184,183,0.1044,008
35060075,654,263,258,0.1446,008
35060076,401,150,147,0.0635,008
35060078,471,166,164,0.1729,008
35060079,567,176,173,0.0643,008
35060080,425,145,145,0.1355,008
35060081,483,224,223,0.0677,008
35060082,564,259,255,0.1216,008
35060083,1083,426,421,0.1791,008
35060089,527,210,205,59.3573,008
35060090,548,193,192,0.1586,008
35060091,359,120,120,0.1142,008
35060092,592,197,197,0.1301,008
35060093,449,147,147,0.1045,008
35060094,579,209,209,0.2327,008
35060095,631,222,222,0.5197,008
35060096,766,267,267,0.4729,008
35060097,1470,500,494,0.6766,008
35060098,388,131,129,0.1676,008
35060099,360,122,121,0.1147,008
35060100,290,106,103,0.077,008
35060101,363,140,137,0.1173,008
35060102,634,246,244,0.1917,008
35060103,413,143,143,0.0913,008
35060104,603,220,217,0.1384,008
35060105,823,322,319,0.4296,008
35060106,434,163,159,0.1432,008
35060107,1064,458,447,0.3686,008
35060108,465,185,180,0.1595,008
35060109,583,206,206,0.1434,008
35060110,547,198,198,0.3139,008
35060111,762,274,274,0.2583,008
35060112,1518,561,559,0.4732,008
35060116,286,120,118,0.0412,008
35060117,515,181,179,0.1726,008
35060118,444,236,226,0.4024,008
35060119,1164,547,528,0.2291,008
35060120,410,153,152,0.0959,008
35060121,694,281,277,0.1565,008
35060122,536,223,223,0.1728,008
35060123,360,247,242,0.0381,008
35060124,368,136,134,0.4696,008
35060125,420,165,164,0.2214,008
35060126,1285,537,527,0.8249,008
35060127,754,247,240,0.2792,008
35060128,434,125,125,0.1526,008
35060129,1074,379,377,0.5907,008
35060132,949,343,343,0.3469,008
35060133,874,300,299,0.2355,008
35060134,495,159,156,1.6191,008
35060135,630,199,197,2.6706,008
35060137,228,86,85,0.0671,008
35060138,486,191,185,0.1578,008
35060139,377,147,147,0.2115,008
35060140,837,356,348,0.3044,008
35060141,529,192,192,0.1538,008
35060143,476,178,176,0.1711,008
35060144,472,177,174,0.3261,008
35060145,647,246,236,0.9111,008
35060146,535,201,195,0.5696,008
35060147,482,35,32,0.1124,008
35060148,444,190,185,0.2484,008
35060149,968,437,424,0.197,008
35060150,426,268,264,0.0253,008
35060151,641,255,245,0.1458,008
35060152,364,117,112,0.0796,008
35060153,1081,358,351,0.2348,008
35060154,389,158,158,0.0864,008
35060155,594,227,223,0.3286,008
35060156,866,439,431,0.1545,008
35060157,1378,570,568,0.1881,008
35060159,368,135,128,0.0809,008
35060163,690,262,256,0.1649,008
35060164,457,197,189,0.2205,008
35060165,556,229,226,0.769,008
35060166,486,197,195,0.155,008
35060167,1182,439,428,0.3848,008
35060168,694,283,277,0.2856,008
35060170,1088,675,623,0.5559,008
35060171,697,244,239,0.1303,008
35060172,329,112,110,0.0314,008
35060173,402,228,209,0.0272,008
35060178,624,313,297,0.2149,008
35060179,384,143,138,0.054,008
35060180,352,161,152,0.0867,008
35060181,275,113,111,0.0507,008
35060182,527,198,191,0.2283,008
35060183,545,369,363,0.0784,008
35060184,691,330,312,0.2616,008
35060185,439,212,184,0.1049,008
35060186,981,394,377,0.252,008
35060187,421,242,230,0.0935,008
35060188,584,363,351,0.0638,008
35060189,421,240,207,0.0661,008
35060192,415,251,223,0.0727,008
35060194,501,296,260,0.0813,008
35060195,422,259,226,0.0558,008
35060196,359,233,205,0.0701,008
35060197,1298,923,805,0.1415,008
35060198,447,248,231,0.0665,008
35060199,408,257,227,0.0747,008
35060200,393,236,207,0.0705,008
35060201,641,389,337,0.0715,008
35060202,570,356,329,0.0547,008
35060205,506,276,252,0.0889,008
35060206,469,276,230,0.0662,008
35060207,486,243,234,0.1927,008
35060208,527,347,327,0.0786,008
35060209,684,379,370,0.8425,008
35060210,647,260,247,0.1746,008
35060211,472,180,163,0.2208,008
35060213,380,155,150,0.0878,008
35060219,765,411,392,0.092,008
35060220,314,132,119,0.0716,008
35060221,626,284,265,0.4254,008
35060222,456,173,150,0.4607,008
35060223,506,206,162,0.6997,008
35060224,476,185,181,0.9735,008
35060225,498,226,199,0.3837,008
35060226,433,163,156,0.1304,008
35060227,482,192,188,0.1501,008
35060228,470,190,182,0.0848,008
35060229,402,172,170,0.0912,008
35060230,473,252,248,0.0465,008
35060231,639,355,339,0.0897,008
35060232,504,272,261,0.1299,008
35060233,820,561,551,0.1637,008
35060234,1385,829,796,0.0849,008
35060236,948,654,624,0.1135,008
35060237,756,271,263,0.2063,008
35060243,543,260,238,0.3642,008
35060246,688,328,314,0.0491,008
35060249,758,437,366,0.0677,008
35060251,475,307,286,0.0506,008
35060252,604,404,361,0.0591,008
35060253,302,66,57,0.0619,008
35060254,531,403,363,0.2192,008
35060255,522,350,305,0.2419,008
35060264,420,266,191,0.0495,008
35060267,398,236,177,0.1284,008
35060280,513,195,192,0.1702,008
35060282,506,194,189,0.1228,008
35060283,430,157,155,0.079,008
35060285,450,166,163,0.0675,008
35060286,657,301,289,0.1711,008
35060287,482,221,197,0.0819,008
35060288,491,211,202,0.0793,008
35060289,635,244,206,0.1303,008
35060290,467,201,176,0.0582,008
35060291,601,206,204,0.0795,008
35060292,564,236,214,0.3599,008
35060293,693,321,277,0.1121,008
35060294,591,235,223,0.1189,008
35060295,447,196,180,0.1634,008
35060296,442,184,165,0.069,008
35060297,523,336,289,0.0532,008
35060298,464,176,166,0.0774,008
35060300,524,218,193,0.0983,008
35060301,474,216,202,0.0697,008
35060305,683,433,351,0.3209,008
35060306,604,319,283,0.0834,008
35060307,630,406,381,0.0564,008
35060308,377,173,167,0.0893,008
35060310,561,245,233,0.0809,008
35060312,570,223,204,0.1401,008
35060313,525,316,286,0.1121,008
35060314,541,327,287,0.067,008
35060315,430,294,259,0.0543,008
35060324,518,305,279,0.0658,008
35060325,476,380,358,0.0219,008
35060327,598,233,221,0.1358,008
35060329,593,348,325,0.0873,008
35060330,606,385,354,0.0468,008
35060331,479,383,341,0.0218,008
35060332,362,272,250,0.0237,008
35060333,540,670,398,0.0549,008
35060334,968,809,710,0.0455,008
35060336,521,408,369,0.0156,008
35060337,616,522,484,0.0284,008
35060338,687,710,450,0.4267,008
35060339,617,467,400,0.0611,008
35060343,599,469,447,0.0332,008
35060345,585,291,253,0.0508,008
35060346,416,280,244,0.0631,008
35060347,376,241,196,0.0486,008
35060348,354,223,186,0.047,008
35060353,532,257,247,0.0474,008
35060354,505,292,282,0.158,008
35060360,256,351,168,0.0106,008
35060361,644,402,360,0.0351,008
35060364,418,308,267,0.02,008
35060366,631,251,231,0.1465,008
35060367,570,340,288,0.0766,008
35060368,538,296,269,0.0927,008
35060371,462,223,214,0.1041,008
35060373,485,194,187,0.1526,008
35060375,404,210,195,0.099,008
35060379,555,220,215,0.1587,008
35060380,578,265,258,0.0798,008
35060381,636,291,252,0.1159,008
35060382,511,343,328,0.0494,008
35060383,717,535,507,0.1218,008
35060384,509,294,271,0.0725,008
35060385,556,406,361,0.0334,008
35060386,473,280,263,0.0546,008
35060387,396,225,210,0.0303,008
35060388,296,200,197,0.0156,008
35060389,434,362,328,0.4749,008
35060390,510,301,275,0.0776,008
35060391,577,383,361,0.0657,008
35060392,606,350,332,0.0946,008
35060393,741,411,378,0.0874,008
35060394,414,271,246,0.0265,008
35060395,526,305,293,0.143,008
35060396,588,277,266,0.0974,008
35060397,469,253,239,0.079,008
35060399,620,478,401,0.8394,008
35060400,313,132,120,0.0538,008
35060401,650,476,461,0.0088,008
35060402,576,430,382,0.0334,008
35060403,653,459,404,0.0112,008
35060404,597,413,382,0.0109,008
35060405,727,595,439,0.0763,008
35060406,805,613,561,0.0135,008
35060407,801,702,503,0.075,008
35060408,757,629,498,0.6908,008
35060412,642,284,280,0.1405,008
35060413,683,266,263,0.1817,008
35060417,865,567,542,0.1059,008
35060419,267,113,108,0.1241,008
35060434,419,141,140,0.1274,008
35060435,513,172,169,0.1444,008
35060436,419,145,145,0.1704,008
35060437,476,155,155,0.1201,008
35060438,699,256,247,0.2833,008
35060439,498,187,184,0.1448,008
35060440,448,181,179,0.1138,008
35060443,379,151,147,0.1557,008
35060444,436,190,185,0.158,008
35060445,495,187,187,0.1425,008
35060446,498,181,180,0.2207,008
35060447,561,210,208,0.3139,008
35060448,610,246,239,0.4043,008
35060449,487,199,198,0.1691,008
35060450,478,197,194,0.1864,008
35060451,375,159,155,0.1183,008
35060452,542,223,211,0.1539,008
35060455,430,176,168,0.2649,008
35060456,368,140,136,0.1664,008
35060457,389,154,145,0.1656,008
35060458,437,159,156,0.2943,008
35060459,421,169,160,0.1962,008
35060460,643,242,236,0.3412,008
35060461,398,182,164,0.1964,008
35060462,515,208,196,0.1951,008
35060463,407,169,163,0.1379,008
35060464,563,209,201,0.2493,008
35060465,371,164,150,0.1653,008
35060466,334,137,130,0.1268,008
35060467,751,230,222,0.4114,008
35060468,756,306,267,0.5565,008
35060469,835,527,404,0.0538,008
35060471,631,258,255,0.1833,008
35060474,524,219,211,0.171,008
35060475,429,180,174,0.318,008
35060476,587,332,300,0.1688,008
35060479,738,268,264,0.1501,008
35060480,627,161,143,0.4741,008
35060481,665,260,257,0.2128,008
35060482,494,218,216,0.1668,008
35060483,239,166,151,0.0097,008
35060484,512,283,245,0.1147,008
35060485,250,85,82,0.061,008
35060486,1507,647,620,0.3594,008
35060488,1340,383,374,0.8222,008
35060491,346,123,118,0.0709,008
35060492,507,176,175,0.1177,008
35060493,729,234,232,0.2159,008
35060494,360,133,130,0.0693,008
35060495,1213,470,457,0.362,008
35060496,905,307,306,0.2366,008
35060497,508,194,193,0.2221,008
35060498,419,177,176,0.1929,008
35060499,566,214,212,0.8455,008
35060500,417,177,170,0.2307,008
35060501,345,138,129,0.0736,008
35060502,458,194,161,0.1253,008
35060503,652,199,198,0.1063,008
35060504,332,113,111,0.067,008
35060505,616,224,214,0.0876,008
35060506,457,162,160,0.1088,008
35060507,376,149,142,0.0822,008
35060508,382,148,145,0.0967,008
35060509,507,212,207,0.1326,008
35060510,702,356,349,0.1653,008
35060511,1127,433,413,0.4255,008
35060512,491,185,178,0.6008,008
35060513,647,257,251,0.3312,008
35060514,689,462,439,0.1692,008
35060515,1093,694,659,0.3474,008
35060516,263,92,89,0.1292,008
35060517,381,139,138,0.1455,008
35060518,450,229,223,0.1557,008
35060519,375,127,127,0.0658,008
35060520,384,139,139,0.2067,008
35060521,679,258,247,0.258,008
35060522,545,213,204,0.327,008
35060523,621,301,289,0.1704,008
35060524,578,262,250,0.0569,008
35060525,894,461,428,0.0722,008
35060526,1105,520,458,0.1945,008
35060527,326,140,131,0.133,008
35060529,378,155,150,0.1773,008
35060530,530,227,215,0.2249,008
35060531,1497,774,744,1.1428,008
35060533,713,275,257,0.2591,008
35060534,356,198,165,0.1369,008
35060535,391,197,174,0.0745,008
35060538,320,136,104,0.0385,008
35060539,1239,703,569,0.1347,008
35060544,710,307,293,0.2417,008
35060547,429,165,164,0.3947,008
35060551,386,155,150,0.6882,008
35060553,259,90,90,0.079,008
35060554,340,160,160,0.1972,008
35060555,360,139,138,0.1005,008
35060556,1242,480,467,0.1588,008
35060557,963,402,383,0.1271,008
35060558,1073,424,400,0.181,008
35060559,606,238,223,0.0335,008
35060560,680,258,255,0.1486,008
35060561,473,190,183,0.128,008
35060562,777,414,301,0.6782,008
35060563,241,165,106,0.0799,008
35060564,184,107,80,0.0619,008
35060565,278,125,106,0.1646,008
35060567,234,80,77,0.0794,008
35060568,467,205,196,0.0963,008
35060569,988,390,381,0.5455,008
35060573,1392,670,595,4.934,008
35060574,408,147,142,0.233,008
35060575,623,216,214,0.373,008
35060576,470,164,163,0.3268,008
35060577,278,132,126,1.319,008
35060578,357,135,132,1.5226,008
35060579,422,149,145,2.3487,008
35060580,696,290,287,0.5386,008
35060582,602,241,240,0.2205,008
35060585,319,131,131,0.0981,008
35060588,738,373,363,0.0779,008
35060590,507,212,210,0.1006,008
35060592,913,551,541,0.0475,008
35060593,523,218,202,0.0656,008
35060594,543,226,221,0.3004,008
35060595,833,340,328,0.4399,008
35060597,618,313,281,0.1114,008
35060598,646,248,247,0.2493,008
35060599,518,188,185,0.2422,008
35060600,608,219,215,0.717,008
35060602,632,272,261,0.1387,008
35060603,585,373,357,0.0778,008
35060604,422,97,97,0.2249,008
35060605,614,250,248,0.9478,008
35060606,517,214,212,0.2552,008
35060607,352,152,152,0.1349,008
35060608,661,225,222,0.2861,008
35060609,614,268,250,0.1503,008
35060610,376,159,154,0.1672,008
35060611,460,179,171,0.1544,008
35060612,492,217,216,0.2476,008
35060613,798,398,364,0.1333,008
35060616,586,263,258,0.1701,008
35060617,583,194,189,0.1567,008
35060618,365,138,138,0.067,008
35060619,821,332,322,0.5708,008
35060620,696,293,286,0.1533,008
35060622,418,248,238,0.7206,008
35060623,858,323,321,2.3335,008
35060624,605,247,245,0.2942,008
35060625,429,151,150,0.0705,008
35060634,648,268,263,0.0643,008
35060638,800,570,502,0.0907,008
35060641,372,148,144,0.0636,008
35060642,830,498,469,0.0753,008
35060643,263,116,107,0.0446,008
35060644,299,153,132,0.0646,008
35060645,1655,1219,1142,0.9414,008
35060646,506,240,226,0.1967,008
35060647,320,132,126,0.4456,008
35060648,399,176,168,0.1501,008
35060649,944,283,264,0.0536,008
35060653,461,178,177,0.182,008
35060654,634,241,239,1.3287,008
35060655,353,146,145,0.1332,008
35060656,668,236,230,0.2866,008
35060657,483,215,205,0.1938,008
35060662,586,182,182,0.1681,008
35060663,2550,845,836,0.9974,008
35060668,432,156,153,17.9127,008
35060669,621,231,229,40.2458,008
35060670,437,162,156,19.5271,008
35060671,417,155,151,34.2972,008
35060672,486,252,220,30.743,008
35060673,661,274,268,72.2811,008
35060678,3053,1057,1048,1.4207,008
35060679,3193,1090,1063,1.867,008
35060680,308,109,109,0.0976,008
35060681,567,285,283,0.3229,008
35060682,455,188,181,0.2837,008
35060684,565,187,186,0.206,008
35060685,619,280,279,0.4552,008
35060686,551,190,190,0.2132,008
35060687,380,133,133,0.1491,008
35060688,831,314,311,0.5716,008
35060689,397,146,144,0.2223,008
35060690,424,130,130,0.1548,008
35060695,349,140,134,0.3432,008
35060696,496,232,231,0.3442,008
35060697,551,206,204,1.0279,008
35060698,621,197,194,0.2419,008
35060700,2304,681,672,5.0231,008
35060701,4368,1634,1578,2.759,008
35060702,415,164,163,0.1085,008
35060703,464,188,188,0.1091,008
35060704,1109,424,419,0.26,008
35060706,535,176,176,0.1926,008
35060707,630,228,228,0.1148,008
35060708,371,149,147,0.3161,008
35060709,356,127,127,0.1069,008
35060710,327,120,120,0.0671,008
35060711,904,321,318,1.3808,008
35060712,587,217,214,0.3778,008
35060713,524,182,181,0.149,008
35060717,1073,402,398,0.4371,008
35060718,430,155,154,0.0977,008
35060719,591,212,212,0.2052,008
35060720,246,99,97,0.0398,008
35060721,684,277,277,0.1946,008
35060722,569,220,219,0.2389,008
35060723,519,213,204,0.2193,008
35060724,439,175,175,0.1592,008
35060725,756,279,275,0.21,008
35060726,341,125,123,0.0562,008
35060728,665,276,270,0.1545,008
35060729,758,190,190,0.1144,008
35060731,329,113,113,0.1194,008
35060734,568,235,231,0.2686,008
35060735,1477,470,469,0.6017,008
35060736,788,293,291,0.4087,008
35060737,699,250,250,0.3146,008
35060738,465,169,168,0.224,008
35060739,468,268,263,0.3835,008
35060740,373,171,171,0.2058,008
35060741,377,136,136,0.2326,008
35060742,685,314,313,0.3302,008
35060743,487,216,209,0.1293,008
35060744,555,216,215,0.2571,008
35060745,464,159,158,0.1697,008
35060746,362,139,137,0.3042,008
35060747,1464,434,432,1.0474,008
35060748,503,198,195,0.2401,008
35060749,419,169,169,0.1157,008
35060750,457,213,202,0.1156,008
35060751,458,185,184,0.2786,008
35060752,402,167,166,0.1623,008
35060753,759,296,294,0.3295,008
35060754,738,297,297,0.2532,008
35060755,547,181,178,0.1203,008
35060758,244,86,86,0.0547,008
35060759,501,176,175,0.1512,008
35060760,525,165,164,0.0878,008
35060761,413,150,149,0.1066,008
35060762,472,206,206,0.1259,008
35060763,336,114,114,0.0943,008
35060764,740,237,237,0.1435,008
35060765,999,331,331,0.2661,008
35060766,487,165,165,0.1233,008
35060767,659,243,242,0.2671,008
35060768,569,194,194,0.1121,008
35060771,1783,572,564,0.5622,008
35060773,817,263,262,0.1662,008
35060774,520,173,173,0.0923,008
35060775,949,301,301,0.2838,008
35060777,380,140,140,0.1178,008
35060778,576,191,190,0.1614,008
35060779,431,142,141,0.095,008
35060780,431,147,145,0.1276,008
35060781,789,278,276,0.27,008
35060782,431,150,149,0.1242,008
35060783,528,189,189,0.1147,008
35060784,387,128,128,0.1447,008
35060785,470,177,175,0.2159,008
35060786,272,97,97,0.201,008
35060787,453,186,180,0.1272,008
35060789,285,105,105,0.0751,008
35060790,319,120,119,0.0535,008
35060792,527,188,188,0.1349,008
35060793,327,128,125,0.0663,008
35060794,430,160,160,0.1173,008
35060795,396,143,142,0.0908,008
35060796,449,160,157,0.109,008
35060797,359,135,132,0.0727,008
35060798,440,143,142,0.0757,008
35060799,509,177,177,0.2415,008
35060800,327,110,109,0.0726,008
35060801,470,167,162,0.0881,008
35060802,330,116,115,0.0556,008
35060815,514,188,182,0.2213,008
35060816,256,90,89,0.0762,008
35060817,513,231,215,0.2081,008
35060818,612,251,247,0.1288,008
35060819,321,117,117,0.0801,008
35060820,397,141,140,0.096,008
35060823,379,154,145,16.4337,008
35060833,454,196,184,11.9916,008
35060834,485,210,197,0.5957,008
35060835,457,155,153,0.4211,008
35060836,434,238,217,0.5225,008
35060837,554,181,177,0.7779,008
35060838,869,283,278,2.7877,008
35060840,717,236,236,0.5478,008
35060841,591,226,226,0.6589,008
35060842,379,149,147,0.3896,008
35060843,1099,421,399,41.9035,008
35060844,555,198,192,4.2958,008
35060845,721,310,305,1.7495,008
35060860,730,248,240,0.8472,008
35060861,483,181,175,0.8243,008
35060862,756,300,290,0.1594,008
35060864,493,174,172,0.1099,008
35060865,1014,371,363,0.1844,008
35060866,1182,423,411,0.2435,008
35060867,483,190,187,0.067,008
35060868,413,170,166,0.402,008
35060869,367,142,138,0.1048,008
35060870,470,160,152,0.1169,008
35060871,328,153,128,0.2463,008
35060872,1140,612,579,0.4906,008
35060874,299,111,111,0.0903,008
35060875,702,288,285,0.1154,008
35060876,753,329,311,0.0888,008
35060877,798,262,251,2.1802,008
35060885,745,334,305,0.3683,008
35060888,432,161,159,0.112,008
35060889,308,111,108,0.076,008
35060890,2287,816,796,0.6597,008
35060891,562,291,253,0.3165,008
35060892,437,157,145,0.0486,008
35060893,1043,356,341,0.2375,008
35060894,1046,477,425,0.304,008
35060895,898,391,361,0.3915,008
35060898,701,339,289,0.0599,008
35060899,2251,992,843,0.1106,008
35060902,370,99,81,0.1826,008
35060903,381,142,134,0.1086,008
35060904,448,169,167,0.1141,008
35060905,609,275,268,0.1107,008
35060906,371,154,150,0.1352,008
35060907,389,150,150,0.1222,008
35060908,366,142,141,0.1291,008
35060909,363,131,130,0.1238,008
35060910,661,284,271,0.2136,008
35060911,1206,751,700,0.4978,008
35060912,431,167,162,0.2271,008
35060913,423,173,171,0.1237,008
35060914,426,183,177,0.1322,008
35060915,509,200,198,0.153,008
35060916,441,190,182,0.1327,008
35060917,397,176,173,0.1508,008
35060918,644,376,344,0.1098,008
35060921,373,132,128,0.1377,008
35060922,1760,943,871,0.1866,008
35060923,348,132,128,0.1917,008
35060924,263,109,102,3.8894,008
35060925,762,187,187,0.068,008
35060926,492,192,187,0.1203,008
35060929,401,141,140,0.1177,008
35060930,461,176,174,0.1535,008
35060931,383,161,159,0.1205,008
35060934,1559,854,801,0.228,008
35060935,511,212,210,0.3238,008
35060936,543,233,225,0.299,008
35060937,506,232,225,0.2616,008
35060938,1912,625,616,4.1304,008
35060939,927,291,290,0.2119,008
35060940,287,98,98,0.0611,008
35060941,641,199,196,0.1808,008
35060942,867,277,271,0.1044,008
35060944,668,232,228,0.2125,008
35060945,450,158,155,0.0957,008
35060953,702,227,226,0.1271,008
35060954,381,115,113,0.056,008
35060955,1485,437,433,0.311,008
35060956,639,205,203,0.0984,008
35060957,1171,608,514,0.3249,008
35060961,805,347,303,0.453,008
35060968,620,244,216,0.2277,008
35060970,1468,861,802,0.3768,008
35060972,3064,1962,1722,0.7829,008
35060973,945,578,534,0.4453,008
35060974,462,246,238,0.4993,008
35060975,903,466,424,0.3406,008
35060976,567,234,224,0.0497,008
35060977,490,248,222,0.1226,008
35060978,694,293,269,0.1366,008
35060979,588,500,453,0.1524,008
35060984,505,205,197,0.0751,008
35060985,459,132,127,0.0783,008
35060986,498,148,144,0.0589,008
35060987,491,190,181,0.0619,008
35060988,696,262,247,0.2543,008
35060989,555,277,262,0.6839,008
35060990,472,151,148,0.0483,008
35060991,602,275,267,0.7929,008
35061001,826,474,435,0.0846,008
35061018,489,263,240,0.1941,008
35061019,421,275,252,0.0533,008
35061020,897,721,661,0.051,008
35061026,375,248,193,0.067,008
35061027,265,184,140,0.0331,008
35061030,519,326,284,0.0746,008
35061031,699,367,349,0.143,008
35061033,518,195,189,0.4217,008
35061034,471,186,177,0.2059,008
35061035,440,156,150,0.1726,008
